purchase_last_90days_count,instore_yn,location_city,product_name,transaction_timestamp,barista_name,Item,Price,promo_redemption
65,Yes,Key West,Hot chocolate: Snow Day Hot Chocolate,2022-12-16T18:24:39Z,Scarlett,Hot chocolate: Snow Day Hot Chocolate,6.99,0
65,Yes,Key West,Barista Espresso: Cappuccino Lg,2022-11-01T14:15:33Z,Savannah,Barista Espresso: Cappuccino Lg,5.99,1
58,No,Key West,Drip coffee: Our Old Time Diner Blend Sm,2023-04-07T01:17:45Z,Nova,Drip coffee: Our Old Time Diner Blend Sm,2.99,0
31,Yes,Key West,Gourmet brewed coffee: Columbian Medium Roast Lg,2022-08-05T20:56:10Z,Stella,Gourmet brewed coffee: Columbian Medium Roast Lg,6.99,0
31,Yes,Key West,Brewed Black tea: English Breakfast Rg,2023-03-20T04:04:21Z,Ivy,Brewed Black tea: English Breakfast Rg,3.99,0
31,Yes,Key West,Specialty coffee: Rio Nights,2022-10-23T00:33:29Z,Phoenix,Specialty coffee: Rio Nights,11.99,0
66,Yes,Miami,Hot chocolate: Sustainably Grown Organic Rg,2022-12-23T23:04:00Z,Scarlett,Hot chocolate: Sustainably Grown Organic Rg,5.99,0
77,Yes,Key West,Biscotti: Chocolate Chip Biscotti,2022-12-06T21:36:37Z,Cleo,Biscotti: Chocolate Chip Biscotti,2.49,0
42,Yes,Key West,Specialty coffee: Rio Nights,2022-08-09T17:02:03Z,Stella,Specialty coffee: Rio Nights,11.99,1
34,Yes,Key West,Specialty coffee: Rio Nights,2022-12-04T08:25:39Z,Scarlett,Specialty coffee: Rio Nights,11.99,0
56,No,Key West,Biscotti: Chocolate Chip Biscotti,2023-02-03T11:21:03Z,Zara,Biscotti: Chocolate Chip Biscotti,2.49,0
27,Yes,Key West,Barista Espresso: Cappuccino Lg,2023-01-29T14:14:02Z,Phoenix,Barista Espresso: Cappuccino Lg,5.99,0
59,Yes,Key West,Regular syrup: Chocolate syrup,2022-08-17T12:17:55Z,Scarlett,Regular syrup: Chocolate syrup,3.99,1
